rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
1,CAND_0017046,0.73666214950186,0.6786432842910289,0.9776,1.0,0.49868500000000004,0.1,"This candidate is a strong match for the lead cross-functional initiatives role based on their career context and certifications, including a Scrum Master Certified certification.","The candidate's skills, although not a direct match, show similarity to the job description through their career context, with a focus on skills like Scrum and project management. Their experience with Agile and Scrum methodologies is also notable. The candidate's skill set, while not perfectly matched, demonstrates a strong understanding of project planning and management.","This candidate's seniority level, with a latest seniority level of 0.75 and 9.8 years of experience, aligns with the job description, indicating they have the necessary experience to lead cross-functional initiatives. Their seniority level suggests a strong ability to manage complex projects and stakeholders.","Their career arc reveals a steady progression, with detected promotions in eligible companies, indicating a strong ability to grow and take on new challenges. The candidate's trajectory also shows a focus on project management and leadership.","The candidate is not actively open to work and has a notice period of 30 days, which may impact their availability and responsiveness to job offers. However, their application history shows some recent activity, with 5 applications in the last 30 days.","The candidate is flagged as passive, requiring outreach, and has no recent application activity, which may impact their interest in the role.",True
2,CAND_0098735,0.7331769675893783,0.6820999073982239,0.98,0.8833333333333333,0.55971,0.1,"This candidate is a strong match for the lead cross-functional initiatives role based on their career context and certifications, including a Scrum Master Certified certification and an AWS Certified Cloud Practitioner certification.","The candidate's skills, although not a direct match, show similarity to the job description through their career context, with a focus on skills like Scrum, project management, and vendor management. Their experience with Agile and Scrum methodologies is also notable. The candidate's skill set, while not perfectly matched, demonstrates a strong understanding of project planning and management.","This candidate's seniority level, with a latest seniority level of 0.75 and 13.4 years of experience, aligns with the job description, indicating they have the necessary experience to lead cross-functional initiatives. Their seniority level suggests a strong ability to manage complex projects and stakeholders.","Their career arc reveals a steady progression, with detected promotions in eligible companies, indicating a strong ability to grow and take on new challenges. The candidate's trajectory also shows a focus on project management and leadership.","The candidate is open to work and has a notice period of 60 days, which may impact their availability and responsiveness to job offers. Their application history shows some recent activity, with 5 applications in the last 30 days.",No flags,True
3,CAND_0095666,0.7122607227905988,0.6832049222588539,0.7296,0.9583333333333334,0.709945,0.1,"This candidate is a strong match for the lead cross-functional initiatives role based on their career context and certifications, including a Scrum Master Certified certification.","The candidate's skills, although not a direct match, show similarity to the job description through their career context, with a focus on skills like Scrum, project management, and stakeholder management. Their experience with Agile and Scrum methodologies is also notable. The candidate's skill set, while not perfectly matched, demonstrates a strong understanding of project planning and management.","This candidate's seniority level, with a latest seniority level of 0.75 and 5.8 years of experience, may represent a calculated stretch for the role, as they have less experience than some other candidates. However, their seniority level still suggests a strong ability to manage projects and stakeholders.","Their career arc reveals limited information, with no internal promotions detected, but their total experience of 5.8 years indicates some level of progression. The candidate's trajectory also shows a focus on project management and leadership.","The candidate is open to work and has a notice period of 60 days, which may impact their availability and responsiveness to job offers. Their application history shows some recent activity, with 8 applications in the last 30 days.",No flags,True
4,CAND_0063552,0.7086568519365853,0.6827049737870693,0.95,0.8240740740740741,0.517995,0.1,"This candidate is a strong match for the lead cross-functional initiatives role based on their career context and certifications, including a Six Sigma Green Belt certification.","The candidate's skills, although not a direct match, show similarity to the job description through their career context, with a focus on skills like project planning, stakeholder management, and risk management. Their experience with data pipelines and project management is also notable. The candidate's skill set, while not perfectly matched, demonstrates a strong understanding of project planning and management.","This candidate's seniority level, with a latest seniority level of 0.75 and 7.5 years of experience, aligns with the job description, indicating they have the necessary experience to lead cross-functional initiatives. Their seniority level suggests a strong ability to manage complex projects and stakeholders.","Their career arc reveals a steady progression, with detected promotions in eligible companies, indicating a strong ability to grow and take on new challenges. The candidate's trajectory also shows a focus on project management and leadership.","The candidate is not actively open to work and has a notice period of 90 days, which may impact their availability and responsiveness to job offers. Their application history shows some recent activity, with 5 applications in the last 30 days.","The candidate is flagged as passive, requiring outreach, and has no recent application activity, which may impact their interest in the role.",True
5,CAND_0077610,0.70626136321038,0.6786467520296573,0.7104,1.0,0.705675,0.0,This candidate is a strong match for the lead cross-functional initiatives role based on their career context and skill similarity.,"Although there is a weak direct skill match, the candidate's career context shows similarity to the required skills, including project planning and scheduling, and stakeholder management, which could be equivalent to skills like sales or spring boot in a different context. The candidate's skills, such as kubernetes or spark, map to the JD's project management requirements. The candidate has demonstrated proficiency in these skills over 4.2 years of experience.","The candidate's latest seniority level of 0.75 aligns with the JD's requirement, indicating they have the necessary experience to lead cross-functional initiatives. The total experience of 4.2 years also suggests they have a good foundation to take on this role.","The candidate's career arc reveals a total experience of 4.2 years, with no internal promotions detected, indicating a potential for growth in this new role. The trajectory evidence suggests the candidate is ready for a new challenge.","The candidate is open to work and has shown responsiveness with 7 applications in the last 30 days, demonstrating their intent and reliability. The notice period of 90 days should be considered when planning the hiring timeline.",No flags,True
6,CAND_0069851,0.7038698553815218,0.6788722852170467,0.7548,0.8803703703703704,0.7275450000000001,0.0,This candidate is a strong match for the lead cross-functional initiatives role based on their career context and skill similarity.,"Although there is a weak direct skill match, the candidate's career context shows similarity to the required skills, including project planning and scheduling, and stakeholder management, which could be equivalent to skills like sql or excel in a different context. The candidate's skills, such as fastapi or html, map to the JD's project management requirements. The candidate has demonstrated proficiency in these skills over 7.9 years of experience.","The candidate's latest seniority level of 0.75 aligns with the JD's requirement, indicating they have the necessary experience to lead cross-functional initiatives. The total experience of 7.9 years also suggests they have a strong foundation to take on this role.","The candidate's career arc reveals a total experience of 7.9 years, with no internal promotions detected, indicating a potential for growth in this new role. However, the candidate is not currently open to work, which may require outreach.","The candidate has shown some application activity with 7 applications in the last 30 days, but is not currently open to work, demonstrating a need for outreach. The notice period of 30 days should be considered when planning the hiring timeline.","The candidate is a passive candidate and requires outreach, and there has been no recent application activity.",True
7,CAND_0089999,0.7012524335637091,0.6839669530391692,0.7032,1.0,0.68032,0.0,This candidate is a strong match for the lead cross-functional initiatives role based on their career context and skill similarity.,"Although there is a weak direct skill match, the candidate's career context shows similarity to the required skills, including project planning and scheduling, and stakeholder management, which could be equivalent to skills like kubernetes or gcp in a different context. The candidate's skills, such as seo or ci/cd, map to the JD's project management requirements. The candidate has demonstrated proficiency in these skills over 3.6 years of experience.","The candidate's latest seniority level of 0.75 aligns with the JD's requirement, indicating they have the necessary experience to lead cross-functional initiatives. The total experience of 3.6 years also suggests they have a good foundation to take on this role, although it may be a bit of a stretch.","The candidate's career arc reveals a total experience of 3.6 years, with no internal promotions detected, indicating a potential for growth in this new role. The trajectory evidence suggests the candidate is ready for a new challenge.","The candidate is open to work and has shown responsiveness with 8 applications in the last 30 days, demonstrating their intent and reliability. The notice period of 120 days should be considered when planning the hiring timeline.","The notice period is 120 days, which should be considered when planning the hiring timeline.",True
8,CAND_0072953,0.7014995483048558,0.6771615665853024,0.7488,1.0,0.6364650000000001,0.0,This candidate is a strong match for the lead cross-functional initiatives role based on their career context and skill similarity.,"Although there is a weak direct skill match, the candidate's career context shows similarity to the required skills, including project planning and scheduling, and stakeholder management, which could be equivalent to skills like six sigma or fastapi in a different context. The candidate's skills, such as gcp or dbt, map to the JD's project management requirements. The candidate has demonstrated proficiency in these skills over 7.4 years of experience.","The candidate's latest seniority level of 0.75 aligns with the JD's requirement, indicating they have the necessary experience to lead cross-functional initiatives. The total experience of 7.4 years also suggests they have a strong foundation to take on this role.","The candidate's career arc reveals a total experience of 7.4 years, with no internal promotions detected, indicating a potential for growth in this new role. The trajectory evidence suggests the candidate is ready for a new challenge.","The candidate is open to work and has shown responsiveness with 8 applications in the last 30 days, demonstrating their intent and reliability. The notice period of 90 days should be considered when planning the hiring timeline.",No flags,True
9,CAND_0010093,0.6918387138228813,0.6870715633034705,0.78,0.8502777777777778,0.61911,0.1,"This candidate is a strong match for the role based on their 10.2 years of experience and skills that align with the job description, such as project management and stakeholder communication.","The candidate's skills, including risk and issue management, budget management, and Agile and Scrum methodologies, match the JD's requirements, although the direct skill match is weak and similarity is through career context. They have experience with tools like JIRA or equivalent project management tools and MS Project, and their career context suggests proficiency in skills like hadoop and kafka.","This candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75 and 10.2 years of experience, indicating a lead role. Their total experience suggests they have the necessary expertise to lead cross-functional initiatives.","The candidate's career arc reveals a steady progression, with no internal promotions detected, but a total experience of 10.2 years, suggesting increasing scope and domain focus.","The candidate is open to work and has applied to 7 jobs in the last 30 days, indicating a high level of intent and responsiveness, with a notice period of 60 days.",No flags,True
10,CAND_0037260,0.6903659826167093,0.6768662995398044,0.7536,0.8618518518518519,0.6539250000000001,0.1,"This candidate is a strong match for the role based on their 7.8 years of experience and skills that align with the job description, such as project planning and stakeholder management.","The candidate's skills, including budget management and resource allocation, Agile and Scrum methodologies, and team leadership, match the JD's requirements, although the direct skill match is weak and similarity is through career context. They have experience with tools like JIRA and MS Project, and their career context suggests proficiency in skills like bigquery and redis.","This candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75 and 7.8 years of experience, indicating a lead role. Their total experience suggests they have the necessary expertise to lead cross-functional initiatives.","The candidate's career arc reveals a steady progression, with no internal promotions detected, but a total experience of 7.8 years, suggesting increasing scope and domain focus.","The candidate is open to work and has applied to 8 jobs in the last 30 days, indicating a high level of intent and responsiveness, with a notice period of 150 days.",Notice period is 150 days — plan timeline accordingly,True
