rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
1,CAND_0054024,0.720973076354326,0.6583963526089986,0.7524,1.0,0.7621717647058823,0.0,This candidate is a strong match for the intelligence layer role based on their experience and skill set.,"The candidate has a weak direct skill match, but their career context shows similarity to the required skills, such as experience with data pipelines, apache flink, or speech recognition. Although the exact skills are not mentioned, their career context suggests a strong foundation in related areas. With 7.7 years of experience, they likely have a strong understanding of the technical requirements.","The candidate's seniority level aligns with the role's requirement, with a latest seniority level of 0.75, indicating they have the necessary experience to own the intelligence layer of Redrob's product. Their total experience of 7.7 years also supports this assessment.","The candidate's career arc reveals a total experience of 7.7 years, but no internal promotions were detected, which may indicate a need for new challenges or growth opportunities. Their career timeline is not available, so it's difficult to assess their progression.","The candidate is open to work, has submitted 10 applications in the last 30 days, and has a notice period of 90 days, indicating they are actively looking for a new opportunity and are likely to be responsive to outreach.",No flags,True
2,CAND_0030827,0.7202431681284004,0.6673626416524251,0.7248,0.9188888888888889,0.8131645510835913,0.1,This candidate is a strong match for the intelligence layer role based on their experience and skill set.,"The candidate has a weak direct skill match, but their career context shows similarity to the required skills, such as experience with nlp, hugging face transformers, or recommendation systems. Although the exact skills are not mentioned, their career context suggests a strong foundation in related areas. With 5.4 years of experience, they likely have a solid understanding of the technical requirements.","The candidate's seniority level aligns with the role's requirement, with a latest seniority level of 0.75, indicating they have the necessary experience to own the intelligence layer of Redrob's product. Their total experience of 5.4 years also supports this assessment.","The candidate's career arc reveals a total experience of 5.4 years, but no internal promotions were detected, which may indicate a need for new challenges or growth opportunities. Their career timeline is not available, so it's difficult to assess their progression.","The candidate is open to work, has submitted 10 applications in the last 30 days, and has a notice period of 120 days, indicating they are actively looking for a new opportunity but may require more time to join. They are likely to be responsive to outreach.",Notice period is 120 days — plan timeline accordingly,True
3,CAND_0042029,0.7189388863528816,0.6608158893585205,0.738,1.0,0.7407666253869969,0.1,This candidate is a strong match for the intelligence layer role based on their experience and skill set.,"The candidate has a weak direct skill match, but their career context shows similarity to the required skills, such as experience with nlp, pytorch, or yolo. Although the exact skills are not mentioned, their career context suggests a strong foundation in related areas. With 6.5 years of experience, they likely have a solid understanding of the technical requirements.","The candidate's seniority level aligns with the role's requirement, with a latest seniority level of 0.75, indicating they have the necessary experience to own the intelligence layer of Redrob's product. Their total experience of 6.5 years also supports this assessment.","The candidate's career arc reveals a total experience of 6.5 years, but no internal promotions were detected, which may indicate a need for new challenges or growth opportunities. Their career timeline is not available, so it's difficult to assess their progression.","The candidate is not open to work, has submitted 6 applications in the last 30 days, and has a notice period of 45 days, indicating they may require outreach to consider new opportunities. However, their notice period is relatively short.",Passive candidate — outreach required; no recent application activity,True
4,CAND_0047721,0.7173350571093057,0.6683237721920012,0.744,1.0,0.7121086842105263,0.1,This candidate is a strong match for the intelligence layer role based on their experience and skill set.,"The candidate has a weak direct skill match, but their career context shows similarity to the required skills, such as experience with learning to rank, mlops, or milvus. Although the exact skills are not mentioned, their career context suggests a strong foundation in related areas. With 7.0 years of experience, they likely have a solid understanding of the technical requirements.","The candidate's seniority level aligns with the role's requirement, with a latest seniority level of 0.75, indicating they have the necessary experience to own the intelligence layer of Redrob's product. Their total experience of 7.0 years also supports this assessment.","The candidate's career arc reveals a total experience of 7.0 years, but no internal promotions were detected, which may indicate a need for new challenges or growth opportunities. Their career timeline is not available, so it's difficult to assess their progression.","The candidate is not open to work, has submitted 6 applications in the last 30 days, and has a notice period of 90 days, indicating they may require outreach to consider new opportunities. However, their notice period is relatively standard.",Passive candidate — outreach required; no recent application activity,True
5,CAND_0011432,0.7086326733895825,0.6649534940719605,0.7512,0.8433333333333334,0.7829947523219815,0.1,This candidate is a strong match for the intelligence layer of Redrob's product based on their experience with semantic search and retrieval systems.,"The candidate's skills in designing evaluation frameworks for ranking systems and experience with vector databases align with the JD's requirements, although there is a weak direct skill match. Their experience with Python and career context also map to the JD's requirements.","This candidate's seniority level, with 7.6 years of experience, aligns with the JD's requirement of 0.75, indicating a potential fit for the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, and a latest seniority level of 0.75, indicating potential for growth in the role.","The candidate is open to work, has applied to 10 jobs in the last 30 days, and has a notice period of 60 days, indicating a strong intent to move and responsiveness to opportunities.",No flags,True
6,CAND_0016923,0.7055779165225058,0.6591449833710987,0.7488,0.8155555555555556,0.8267191950464396,0.0,This candidate is a strong match for the intelligence layer of Redrob's product based on their experience with search infrastructure and retrieval systems.,"Although there is a weak direct skill match, the candidate's experience with computer vision and azure maps to the JD's requirements, and their career context also aligns with the role's requirements.","This candidate's seniority level, with 7.4 years of experience, is close to the JD's requirement of 0.75, indicating a potential fit for the role, although it may represent a calculated stretch.","The candidate's career arc reveals a steady progression, with no internal promotions detected, and a latest seniority level of 0.75, indicating potential for growth in the role.","The candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 120 days, indicating a strong intent to move, but requiring planning for the notice period.",Notice period is 120 days — plan timeline accordingly,True
7,CAND_0096142,0.6879297656557144,0.6646576143900553,0.58,0.8833333333333334,0.8639980030959752,0.1,This candidate is a strong match for the intelligence layer of Redrob's product based on their experience with machine learning and search systems.,"Although there is a weak direct skill match, the candidate's experience with python and career context align with the JD's requirements, and their certification in AWS Certified Machine Learning Specialty maps to the role's requirements.","This candidate's seniority level, with 5.0 years of experience, may represent a calculated stretch for the JD's requirement of 0.75, indicating potential for growth in the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, and a latest seniority level of 0.5, indicating potential for growth in the role.","The candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 120 days, indicating a strong intent to move, but requiring planning for the notice period.",Notice period is 120 days — plan timeline accordingly,True
8,CAND_0075249,0.6840746875322198,0.6610328533649444,0.5944,1.0,0.7455659442724458,0.1,This candidate is a strong match for the intelligence layer of Redrob's product based on their experience with natural language processing and machine learning.,"Although there is a weak direct skill match, the candidate's experience with sentence transformers and machine learning maps to the JD's requirements, and their career context also aligns with the role's requirements.","This candidate's seniority level, with 6.2 years of experience, may represent a calculated stretch for the JD's requirement of 0.75, indicating potential for growth in the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, and a latest seniority level of 0.5, indicating potential for growth in the role.","The candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 45 days, indicating a strong intent to move and responsiveness to opportunities.",No flags,True
9,CAND_0039383,0.6808999027872105,0.6641028860410054,0.6052,0.8277777777777778,0.8399861300309597,0.1,This candidate is a strong match for the Intelligence Layer Owner role based on their 7.1 years of experience and certifications in Google Cloud Professional ML Engineer and Deep Learning Specialization.,"The candidate's experience with machine learning and deep learning maps to the JD's requirements for production experience with embeddings-based retrieval systems and strong Python skills, although there is a weak direct skill match. Their experience with systems like faiss and gans could be an asset in this role.","The candidate's seniority level, with 7.1 years of experience and a latest seniority level of 0.5, represents a calculated stretch for the role's requirement of 0.75, but their certifications and experience demonstrate potential for growth.","The candidate's career arc reveals a total experience of 7.1 years, but no internal promotions were detected, indicating a need for further evaluation of their trajectory.","The candidate is open to work, has applied to 10 jobs in the last 30 days, and has a notice period of 90 days, demonstrating their intent and readiness to move to a new role.",No flags,True
10,CAND_0035553,0.6791589635135965,0.6601405277252197,0.756,0.8896296296296297,0.6283266718266254,0.0,This candidate is a moderate match for the Intelligence Layer Owner role based on their 8.0 years of experience and ability to work with systems like django and mlflow.,"The candidate's experience with data pipelines and graphql maps to the JD's requirements for production experience with vector databases or hybrid search infrastructure, although there is a weak direct skill match. Their experience with semantic search could be an asset in this role.","The candidate's seniority level, with 8.0 years of experience and a latest seniority level of 0.75, aligns with the role's requirement of 0.75, demonstrating a good fit.","The candidate's career arc reveals a total experience of 8.0 years, but no internal promotions were detected, indicating a need for further evaluation of their trajectory.","The candidate is not open to work, has applied to 6 jobs in the last 30 days, and has a notice period of 120 days, demonstrating a lower level of intent and readiness to move to a new role.",Notice period is 120 days — plan timeline accordingly; Passive candidate — outreach required; no recent application activity,True
