rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
1,CAND_0072646,0.7337623123084704,0.664424701833725,0.98,0.8777777777777778,0.622735,0.0,This candidate is a strong match for the HR Manager based on their overall composite score of 0.734.,"The candidate's skills align with the JD's requirements through career context, despite a weak direct skill match. Although no specific skills like postgresql, css, kafka, angular, or six sigma are mentioned, their career path suggests a similarity to the required HR skills. The duration of their experience is 13.3 years, indicating a potential proficiency in HR-related skills.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75, indicating they can lead the human resources department. Their total experience of 13.3 years also supports their ability to handle senior roles.","The candidate's career arc reveals a potential for growth, with 10 out of 10 eligible companies showing a promotion, suggesting increasing scope and domain focus.","The candidate is not open to work, having applied to 6 jobs in the last 30 days, and has a notice period of 30 days, indicating some level of intent and responsiveness, but requiring outreach due to their passive status.",Passive candidate — outreach required; no recent application activity,True
2,CAND_0066680,0.7106491830825806,0.6655548088073729,0.7428,1.0,0.710025,0.0,This candidate is a strong match for the HR Manager based on their overall composite score of 0.711.,"The candidate's skills align with the JD's requirements through career context, despite a weak direct skill match. Although no specific skills like java, scrum, asr, apache beam, or next.js are mentioned, their career path suggests a similarity to the required HR skills. The duration of their experience is 6.9 years, indicating some level of proficiency in HR-related skills.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75, indicating they can lead the human resources department. However, with only 6.9 years of experience, they may represent a calculated stretch for the role.","The candidate's career arc does not reveal significant promotions or increasing scope, with no internal promotions detected.","The candidate is open to work, having applied to 7 jobs in the last 30 days, and has a notice period of 30 days, indicating a strong intent and responsiveness.",No flags,True
3,CAND_0063647,0.7079222790590921,0.6693303211212157,0.6948,0.9744444444444444,0.7439500000000001,0.1,This candidate is a strong match for the HR Manager based on their overall composite score of 0.708.,"The candidate's skills align with the JD's requirements through career context, despite a weak direct skill match. Although no specific skills like sql, excel, postgresql, redux, or rust are mentioned, their career path suggests a similarity to the required HR skills. The duration of their experience is 2.9 years, indicating a limited but growing proficiency in HR-related skills.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75, but with only 2.9 years of experience, they may represent a significant stretch for the role.","The candidate's career arc does not reveal significant promotions or increasing scope, with no internal promotions detected.","The candidate is open to work, having applied to 9 jobs in the last 30 days, and has a notice period of 30 days, indicating a strong intent and responsiveness.",No flags,True
4,CAND_0092265,0.6950749805135726,0.6629799443244934,0.7392,1.0,0.6411600000000001,0.0,This candidate is a strong match for the HR Manager based on their overall composite score of 0.695.,"The candidate's skills align with the JD's requirements through career context, despite a weak direct skill match. Although no specific skills like fastapi, microservices, seo, next.js, or image classification are mentioned, their career path suggests a similarity to the required HR skills. The duration of their experience is 6.6 years, indicating some level of proficiency in HR-related skills.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75, indicating they can lead the human resources department. Their total experience of 6.6 years also supports their ability to handle senior roles.","The candidate's career arc does not reveal significant promotions or increasing scope, with no internal promotions detected.","The candidate is open to work, having applied to 7 jobs in the last 30 days, and has a notice period of 90 days, indicating some level of intent but potentially lower responsiveness due to the longer notice period.",No flags,True
5,CAND_0057755,0.6940311677970886,0.6679633365631104,0.6996,1.0,0.6767200000000001,0.0,This candidate is a strong match for the HR Manager role based on their semantic fit score of 0.668 and a career context similar to the job description requirements.,"The candidate's skills align with the JD requirements through career context, albeit with a weak direct skill match. Specifically, skills like HR strategy and operations, talent acquisition, and employee relations management are matched, although at varying proficiencies and durations. Semantic equivalences to skills like Labor law and compliance can also be considered.","This candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.75 and a total experience of 3.3 years. The latest title suggests they may have had experience in leading roles.","The candidate's career arc reveals no internal promotions detected, indicating a need for further exploration of their ability to grow within a company. Their total experience of 3.3 years, however, indicates potential for future growth.","The candidate is open to work, having applied to 8 jobs in the last 30 days, demonstrating their intent and responsiveness. Their notice period of 90 days suggests reliability in their current role.",No flags,True
6,CAND_0062285,0.6916397994337082,0.6647251412391663,0.7416,1.0,0.6179300000000001,0.0,"This candidate is a strong match for the HR Manager role based on their semantic fit score of 0.665 and a career context similar to the job description requirements, along with 6.8 years of experience.","Although the candidate has a weak direct skill match, their career context suggests similarities to the JD requirements such as HR analytics and reporting, and communication skills. However, specific skills like accounting or rest apis aren't directly mentioned in their profile.","The candidate's latest seniority level of 0.75 and 6.8 years of experience indicate alignment with the JD's seniority requirement, suggesting they may have the necessary leadership experience to lead the human resources department.","The candidate's career arc, with no internal promotions detected, may suggest a lack of growth opportunities in their previous roles or a need for lateral moves to achieve career goals. Nonetheless, their experience indicates a level of maturity.",This candidate demonstrates intent by being open to work and having applied to 7 jobs in the last 30 days. Their notice period of 30 days indicates a shorter transition time if hired.,No flags,True
7,CAND_0080620,0.6921558939290047,0.6680025540828705,0.7332,1.0,0.6002750000000001,0.1,"This candidate is a strong match for the HR Manager role based on their semantic fit score of 0.668, career context, and certifications like Scrum Master Certified, which align with the JD's requirements for leadership and team management skills.","The candidate's skills, such as scrum, align with the JD's requirements for organizational development and team management. However, direct matches to skills like django or bigquery are not evident, suggesting a need for upskilling or reskilling in certain areas like HR analytics and reporting.","With a latest seniority level of 0.75 and 6.1 years of experience, this candidate's seniority level is aligned with the JD's requirement. The combination of experience and certifications like Six Sigma Green Belt suggests readiness for a leadership role.","The absence of internal promotions in the candidate's career timeline may indicate a pattern of seeking external opportunities for growth. Their career arc, however, does show a focus on developing skills relevant to HR and operations.","The candidate is open to work, with 6 applications in the last 30 days, and has a notice period of 90 days, indicating a standard transition time if hired.",No flags,True
8,CAND_0057654,0.6916416011250283,0.6636318762302398,0.9296,0.6796296296296297,0.60013,0.1,"This candidate is a strong match for the HR Manager role based on their semantic fit score and the presence of relevant certifications like Six Sigma Green Belt, which suggests proficiency in process improvement and leadership.","While direct skill matches are weak, the candidate's career context suggests relevance to the JD's requirements for HR strategy and operations. Skills like diffusion models or graphql, though not directly applicable, indicate an ability to learn and adapt to new technologies and methodologies.","The candidate's seniority level, with a latest seniority of 0.75 and 5.8 years of experience, aligns with the JD's requirements. The detection of promotions in eligible companies suggests a strong potential for leadership roles.","The candidate's career trajectory, marked by detected promotions, indicates a history of growth and increasing responsibility. This pattern suggests they are ready for more challenging roles and can drive business objectives.","This candidate is open to work, demonstrating intent with 7 applications in the last 30 days. Their notice period of 60 days is shorter than average, suggesting a faster onboarding potential.",No flags,True
9,CAND_0053506,0.6880993342952728,0.6698895265579223,0.708,1.0,0.63319,0.0,This candidate is a strong match for the HR Manager based on their career context and total experience of 4.0 years.,"The candidate's skills, such as HR strategy and operations, show a weak direct match but similarity through career context, and no specific technical skills like next.js or django are mentioned, however, their experience indicates they may have worked with various systems and tools. Although there is no direct mention of skills like kafka or hadoop, the candidate's background suggests potential familiarity with related concepts. The candidate's career context suggests they may have experience with Compensation and benefits administration, Labor law and compliance, and HR analytics and reporting.","This candidate's seniority level, with a latest seniority level of 0.75, aligns with the JD's requirement, considering their total experience of 4.0 years.","Unfortunately, no internal promotions were detected, and there is no career history available to determine the candidate's career arc or increasing scope.","The candidate is open to work, has submitted 7 applications in the last 30 days, and has a notice period of 30 days, indicating they are actively seeking new opportunities and could start relatively quickly.",No flags,True
10,CAND_0061692,0.6869895838766098,0.6741330967903137,0.6936,0.9266666666666666,0.6932149999999999,0.0,This candidate is a strong match for the HR Manager based on their career context and total experience of 2.8 years.,"The candidate's skills, such as HR strategy and operations, show a weak direct match but similarity through career context, and no specific technical skills like powerpoint or content writing are mentioned, however, their experience indicates they may have worked with various systems and tools. Although there is no direct mention of skills like etl or java, the candidate's background suggests potential familiarity with related concepts. The candidate's career context suggests they may have experience with Talent acquisition and recruitment, Employee relations management, and Performance management systems.","This candidate's seniority level, with a latest seniority level of 0.75, may represent a calculated stretch, considering their total experience of 2.8 years.","Unfortunately, no internal promotions were detected, and there is no career history available to determine the candidate's career arc or increasing scope.","The candidate is open to work, has submitted 8 applications in the last 30 days, and has a notice period of 60 days, indicating they are actively seeking new opportunities but may require more time to start.",No flags,True
