rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
1,CAND_0062271,0.7414594125960138,0.6929513375759124,0.736,0.8896296296296297,0.90741,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall composite score of 0.741, which suggests a solid alignment with the role requirements.","Although the candidate has a weak direct skill match, their career context shows similarity to the required skills, such as SQL, Data visualization, and Python for data analysis, which could be equivalent to skills like time series or forecasting in certain contexts. The candidate's background indicates a potential for semantic equivalences, such as experience with data storytelling and presentation, which is crucial for the role.","The candidate's seniority level, with a total experience of 8.0 years and a latest seniority level of 0.5, aligns with the JD's requirement for a Mid-Level Data Analyst, suggesting they have the necessary experience for the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, indicating a potential for growth and increasing scope, which could be beneficial for the role's requirements, including working with large datasets and conducting A/B testing.","The platform evidence indicates the candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 90 days, showing intent and responsiveness, but also highlighting the need to plan the timeline accordingly.",No flags,True
2,CAND_0057065,0.732675135160923,0.6966032433169228,0.7336,1.0,0.7523200000000001,0.1,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall composite score of 0.733, which suggests a solid alignment with the role requirements.","Although the candidate has a weak direct skill match, their career context shows similarity to the required skills, such as SQL, Data visualization, and Python for data analysis, which could be equivalent to skills like statistical modeling or project management in certain contexts. The candidate's background indicates a potential for semantic equivalences, such as experience with data storytelling and presentation, which is crucial for the role, and they also hold a Six Sigma Green Belt certification.","The candidate's seniority level, with a total experience of 7.8 years and a latest seniority level of 0.5, aligns with the JD's requirement for a Mid-Level Data Analyst, suggesting they have the necessary experience for the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, indicating a potential for growth and increasing scope, which could be beneficial for the role's requirements, including working with large datasets and conducting A/B testing.","The platform evidence indicates the candidate is open to work, has applied to 8 jobs in the last 30 days, and has a notice period of 120 days, showing intent and responsiveness, but also highlighting the need to plan the timeline accordingly.","The candidate's notice period is 120 days, which should be taken into account when planning the hiring timeline.",True
3,CAND_0038195,0.7284721227793693,0.6938403507981981,0.712,1.0,0.7881400000000001,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall composite score of 0.728, which suggests a solid alignment with the role requirements.","Although the candidate has a weak direct skill match, their career context shows similarity to the required skills, such as SQL, Data visualization, and Python for data analysis, which could be equivalent to skills like opencv or image classification in certain contexts. The candidate's background indicates a potential for semantic equivalences, such as experience with data storytelling and presentation, which is crucial for the role.","The candidate's seniority level, with a total experience of 6.0 years and a latest seniority level of 0.5, aligns with the JD's requirement for a Mid-Level Data Analyst, suggesting they have the necessary experience for the role, although it may represent a slight stretch.","The candidate's career arc reveals a steady progression, with no internal promotions detected, indicating a potential for growth and increasing scope, which could be beneficial for the role's requirements, including working with large datasets and conducting A/B testing.","The platform evidence indicates the candidate is open to work, has applied to 10 jobs in the last 30 days, and has a notice period of 120 days, showing intent and responsiveness, but also highlighting the need to plan the timeline accordingly.","The candidate's notice period is 120 days, which should be taken into account when planning the hiring timeline.",True
4,CAND_0074835,0.7226347568936349,0.6935078768389566,0.7072,0.9166666666666666,0.8280350000000001,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall composite score of 0.723, which suggests a solid alignment with the role requirements.","Although the candidate has a weak direct skill match, their career context shows similarity to the required skills, such as SQL, Data visualization, and Python for data analysis, which could be equivalent to skills like qdrant or forecasting in certain contexts. The candidate's background indicates a potential for semantic equivalences, such as experience with data storytelling and presentation, which is crucial for the role.","The candidate's seniority level, with a total experience of 5.6 years and a latest seniority level of 0.5, may represent a slight stretch for the JD's requirement for a Mid-Level Data Analyst, but their potential for growth and increasing scope could be beneficial for the role.","The candidate's career arc reveals a steady progression, with no internal promotions detected, indicating a potential for growth and increasing scope, which could be beneficial for the role's requirements, including working with large datasets and conducting A/B testing.","The platform evidence indicates the candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 120 days, showing intent and responsiveness, but also highlighting the need to plan the timeline accordingly.","The candidate's notice period is 120 days, which should be taken into account when planning the hiring timeline.",True
5,CAND_0059145,0.7218070203747483,0.6930241851976939,0.7348,0.8803703703703704,0.7924650000000001,0.1,This candidate is a strong match for the Mid-Level Data Analyst based on their composite score of 0.722.,"The candidate demonstrated a weak direct skill match, with similarity to the role requirements through their career context, which includes skills like Excel, a crucial requirement for the role. Although the exact skills matched are not specified, their career context suggests some alignment with the JD's requirements, including data analysis and possibly data visualization tools like Tableau or Power BI, and SQL. No specific semantic equivalences are mentioned, but their experience suggests potential in areas like statistical analysis and data storytelling.","This candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5, indicating mid-level experience. Their total experience of 7.9 years supports this assessment, suggesting they have the necessary depth of experience for the role.","The candidate's career arc, with 7.9 years of total experience and a latest seniority level of 0.5, indicates a stable progression, although no internal promotions were detected. This suggests a potential for growth and adaptability in a new role.","The candidate is open to work, has a notice period of 60 days, and has shown activity with 8 applications in the last 30 days, indicating both intent and responsiveness.",No flags,True
6,CAND_0092494,0.7215488699855804,0.6925139142445156,0.6964,1.0,0.7753450000000001,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their composite score of 0.722.,"The candidate shows a weak direct skill match but has a career context similar to the role requirements, which could include skills like data visualization using tools such as Tableau, Power BI, or Looker, and proficiency in SQL. Their background may also touch upon aspects of statistical analysis, hypothesis testing, and possibly Python for data analysis. While no direct equivalences are mentioned, their experience hints at capabilities in data storytelling and business acumen.","With a latest seniority level of 0.5 and a total of 4.7 years of experience, this candidate is at a mid-level, which aligns with the role's requirements, suggesting they could bring a fresh perspective and growth potential.","The candidate's career trajectory, although lacking detailed history, shows no internal promotions and a consistent seniority level, indicating stability and potential for further growth and development in their career.","The candidate is open to work, with a notice period of 60 days, and has been actively applying to roles, as evidenced by 9 applications in the last 30 days, showing both intent and responsiveness.",No flags,True
7,CAND_0046792,0.7194594304115772,0.6932498011759349,0.712,1.0,0.74411,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their composite score of 0.719.,"Although the candidate has a weak direct skill match, their career context suggests alignment with role requirements such as SQL, data visualization tools like Tableau, and possibly Python for data analysis, indicating potential in data-driven insights and presentation. The similarity in career context to the JD requirements, such as Excel skills for data analysis, suggests they could adapt to the role's demands.","With 6.0 years of experience and a latest seniority level of 0.5, the candidate is well-positioned for a mid-level role, indicating a balance of experience and growth potential that aligns with the role's seniority requirement.","The candidate's career progression, with no internal promotions detected and a total experience of 6.0 years, suggests stability and consistency, which are beneficial for a role requiring collaboration and data-driven decision making.","The candidate is open to work, has a notice period of 90 days, and shows activity with 9 applications in the last 30 days, demonstrating their intent, responsiveness, and reliability.",No flags,True
8,CAND_0067302,0.7190751081938743,0.6963945948396411,0.718,1.0,0.729185,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their composite score of 0.719.,"The candidate demonstrates a weak direct skill match but has a career context similar to the role's requirements, which could encompass skills such as data pipelines, forecasting, and possibly proficiency in tools like Tableau for data visualization. Their experience suggests potential alignment with the JD's requirements, including statistical analysis and data storytelling, although no direct skill equivalences are mentioned.","With a latest seniority level of 0.5 and 6.5 years of experience, the candidate aligns with the mid-level requirement, indicating a potential for bringing established skills and a growth mindset to the role.","The candidate's career, with no internal promotions and 6.5 years of experience, indicates a trajectory of consistent seniority and potential for further professional development, which could be leveraged in a new role.","The candidate is not currently open to work and has a notice period of 60 days, with 7 applications in the last 30 days, suggesting a need for outreach due to their passive status but indicating some level of responsiveness.",Passive candidate — outreach required; no recent application activity,True
9,CAND_0016253,0.7168123536568218,0.6956956136226655,0.7323999999999999,0.8425925925925926,0.81915,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall fit to the job description, despite weak direct skill matches.","The candidate's skills align with the job description through career context, but there is a weak direct skill match. Similarity to required skills like SQL, Data visualization, and Python is noted, albeit indirectly. No specific skills like scrum, embeddings, tailwind, asr, or flask are mentioned in the evidence, suggesting a need for further assessment.","The candidate's seniority level aligns with the job requirement, given their latest seniority level of 0.5 and total experience of 7.7 years, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions and a steady seniority level, suggesting stability but limited growth or increasing scope, with 7.7 years of experience.","The candidate is open to work, having applied to 10 jobs in the last 30 days, indicating active job seeking, but a notice period of 120 days may impact availability.",Notice period is 120 days — plan timeline accordingly.,True
10,CAND_0082026,0.7164070620900789,0.6919468440668923,0.712,0.9961111111111112,0.7340450000000001,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall fit to the job description, despite weak direct skill matches.","The candidate's skills align with the job description through career context, but there is a weak direct skill match. Similarity to required skills like SQL, Data visualization, and Python is noted, albeit indirectly. No specific skills like sap, feature engineering, asr, peft, or kafka are mentioned in the evidence, suggesting a need for further assessment.","The candidate's seniority level aligns with the job requirement, given their latest seniority level of 0.5 and total experience of 6.0 years, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions and a steady seniority level, suggesting stability but limited growth or increasing scope, with 6.0 years of experience.","The candidate is open to work and has applied to 7 jobs in the last 30 days, indicating active job seeking, with a notice period of 90 days.",No flags,True
